date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Other
01/01/18 00:15,3.17,2.95,0,1
01/01/18 00:30,4,4.46,0,1
01/01/18 00:45,3.24,3.28,0,1
01/01/18 01:00,3.31,3.56,0,1
01/01/18 01:15,3.82,4.5,0,1
01/01/18 01:30,3.28,3.56,0,1
01/01/18 01:45,3.6,4.14,0,1
01/01/18 02:00,3.6,4.28,0,1
01/01/18 02:15,3.28,3.64,0,1
01/01/18 02:30,3.78,4.72,0,1
01/01/18 02:45,3.46,4.03,0,1
01/01/18 03:00,3.24,3.64,0,1
01/01/18 03:15,3.96,4.97,0,1
01/01/18 03:30,3.31,3.74,0,1
01/01/18 03:45,3.31,3.85,0,1
01/01/18 04:00,3.89,5,0,1
01/01/18 04:15,3.28,3.82,0,1
01/01/18 04:30,3.56,4.28,0,1
01/01/18 04:45,3.74,4.54,0,1
01/01/18 05:00,3.31,3.6,0,1
01/01/18 05:15,3.56,4.07,0,1
01/01/18 05:30,3.56,4.1,0,1
01/01/18 05:45,3.28,3.49,0,1
01/01/18 06:00,3.78,4.32,0,1
01/01/18 06:15,3.35,3.64,0,1
01/01/18 06:30,3.24,3.35,0,1
01/01/18 06:45,3.89,4.46,0,1
01/01/18 07:00,3.31,3.53,0,1
01/01/18 07:15,3.28,3.49,0,1
01/01/18 07:30,3.85,4.75,0,1
01/01/18 07:45,3.2,3.6,0,1
01/01/18 08:00,3.31,3.78,0,1
01/01/18 08:15,3.78,4.75,0,1
01/01/18 08:30,3.28,3.74,0,1
01/01/18 08:45,3.49,4.46,0.18,1
01/01/18 09:00,3.89,0,15.66,1
01/01/18 09:15,3.6,0,16.96,1
01/01/18 09:30,4.03,0,21.28,1
01/01/18 09:45,3.92,0,19.22,1
01/01/18 10:00,3.64,0,16.88,1
01/01/18 10:15,4.07,0,22.32,1
01/01/18 10:30,3.71,0,18,1
01/01/18 10:45,3.6,0,16.92,1
01/01/18 11:00,4.21,0,23.4,1
01/01/18 11:15,3.49,0,5.65,1
01/01/18 11:30,3.46,0,4.82,1
01/01/18 11:45,4,0,6.7,1
01/01/18 12:00,3.49,0,4.57,1
01/01/18 12:15,3.6,0,12.89,1
01/01/18 12:30,4.25,0,23.15,1
01/01/18 12:45,3.67,0,16.67,1
01/01/18 13:00,3.67,0,16.63,1
01/01/18 13:15,4.25,0,23.33,1
01/01/18 13:30,3.64,0,16.74,1
01/01/18 13:45,3.67,0,16.99,1
01/01/18 14:00,4.28,0,23.4,1
01/01/18 14:15,3.64,0,16.67,1
01/01/18 14:30,3.78,0,18.25,1
01/01/18 14:45,4.1,0,22.1,1
01/01/18 15:00,3.64,0,16.7,1
01/01/18 15:15,3.92,0,19.33,1
01/01/18 15:30,4.1,0,21.35,1
01/01/18 15:45,3.6,0,16.81,1
01/01/18 16:00,3.96,0,20.45,1
01/01/18 16:15,4,0,20.77,1
01/01/18 16:30,3.6,0,16.81,1
01/01/18 16:45,4.07,0,21.64,1
01/01/18 17:00,3.82,0,19.19,1
01/01/18 17:15,3.56,0,16.96,1
01/01/18 17:30,4.1,0,23.51,1
01/01/18 17:45,3.6,0,17.39,1
01/01/18 18:00,3.6,0,17.35,1
01/01/18 18:15,4,0,8.96,1
01/01/18 18:30,3.42,0,5.47,1
01/01/18 18:45,3.67,0,16.24,1
01/01/18 19:00,4.07,0,22.57,1
01/01/18 19:15,3.53,0,17.39,1
01/01/18 19:30,3.85,0,20.74,1
01/01/18 19:45,3.96,0,20.88,1
01/01/18 20:00,3.56,0,17.35,1
01/01/18 20:15,4.03,0,22.54,1
01/01/18 20:30,3.74,0,19.55,1
01/01/18 20:45,3.56,0,17.42,1
01/01/18 21:00,4.21,0,24.26,1
01/01/18 21:15,3.56,0,17.75,1
01/01/18 21:30,3.53,0,17.42,1
01/01/18 21:45,4.25,0,25.2,1
01/01/18 22:00,3.53,0,17.5,1
01/01/18 22:15,3.56,1.44,10.08,1
01/01/18 22:30,3.67,4.21,0,1
01/01/18 22:45,3.24,3.35,0,1
01/01/18 23:00,3.53,3.74,0,1
01/01/18 23:15,3.53,3.42,0,1
01/01/18 23:30,3.24,2.95,0,1
01/01/18 23:45,3.67,3.96,0,1
01/01/18 00:00,3.42,3.46,0,1
02/01/18 00:15,3.2,3.1,0,1
02/01/18 00:30,3.85,4.61,0,1
02/01/18 00:45,3.28,3.67,0,1
02/01/18 01:00,3.35,3.6,0,1
02/01/18 01:15,3.89,4.72,0,1
